"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","38,405.66","40,696.50","40,744.50","36,703.50","1.51B","-4.86%"
"03/01/2024","40,369.44","39,254.69","41,133.00","38,273.50","1.22B","3.07%"
"02/01/2024","39,166.19","36,008.56","39,426.29","35,854.63","24.34B","7.94%"
"01/01/2024","36,286.71","33,193.05","36,984.51","32,693.18","20.82B","8.43%"
"12/01/2023","33,464.17","33,537.44","33,824.06","32,205.38","20.79B","-0.07%"
"11/01/2023","33,486.89","31,311.22","33,853.46","31,301.51","21.21B","8.52%"
"10/01/2023","30,858.85","32,101.97","32,533.08","30,487.67","20.96B","-3.14%"
"09/01/2023","31,857.62","32,521.15","33,634.31","31,674.42","21.03B","-2.34%"
"08/01/2023","32,619.34","33,292.31","33,488.77","31,275.25","19.73B","-1.67%"
"07/01/2023","33,172.22","33,517.60","33,762.81","31,791.71","19.24B","-0.05%"
"06/01/2023","33,189.04","30,886.01","33,772.89","30,853.44","20.94B","7.45%"
"05/01/2023","30,887.88","29,058.05","31,560.43","28,931.81","17.80B","7.04%"
"04/01/2023","28,856.44","28,203.35","28,879.24","27,427.66","13.05B","2.91%"
"03/01/2023","28,041.48","27,363.57","28,734.79","26,632.92","17.82B","2.17%"
"02/01/2023","27,445.56","27,483.41","27,821.22","27,046.08","13.70B","0.43%"
"01/01/2023","27,327.11","25,834.93","27,502.15","25,661.89","13.64B","4.72%"
"12/01/2022","26,094.50","28,273.13","28,423.46","25,953.92","14.84B","-6.70%"
"11/01/2022","27,968.99","27,614.64","28,502.29","27,032.02","15.56B","1.38%"
"10/01/2022","27,587.46","25,778.95","27,602.99","25,621.96","14.35B","6.36%"
"09/01/2022","25,937.21","27,797.00","28,659.76","25,805.59","13.77B","-7.67%"
"08/01/2022","28,091.53","27,813.82","29,222.77","27,530.60","13.98B","1.04%"
"07/01/2022","27,801.64","26,460.71","28,015.68","25,841.75","13.39B","5.34%"
"06/01/2022","26,393.04","27,295.63","28,389.75","25,520.23","16.38B","-3.25%"
"05/01/2022","27,279.80","26,851.10","27,463.33","25,688.11","15.83B","1.61%"
"04/01/2022","26,847.90","27,624.11","27,965.94","26,051.04","13.46B","-3.50%"
"03/01/2022","27,821.43","26,836.74","28,338.81","24,681.74","18.83B","4.88%"
"02/01/2022","26,526.82","27,167.14","27,880.70","25,775.64","13.91B","-1.76%"
"01/01/2022","27,001.98","29,098.41","29,388.16","26,044.52","13.88B","-6.22%"
"12/01/2021","28,791.71","27,866.73","29,121.01","27,588.61","12.84B","3.49%"
"11/01/2021","27,821.76","29,330.68","29,960.93","27,819.14","14.34B","-3.71%"
"10/01/2021","28,892.69","29,235.11","29,489.11","27,293.62","16.02B","-1.90%"
"09/01/2021","29,452.66","28,179.04","30,795.78","28,179.04","15.61B","4.85%"
"08/01/2021","28,089.54","27,493.32","28,279.80","26,954.81","12.35B","2.95%"
"07/01/2021","27,283.59","28,832.41","28,852.31","27,272.49","11.08B","-5.24%"
"06/01/2021","28,791.53","28,998.65","29,480.85","27,795.86","12.59B","-0.24%"
"05/01/2021","28,860.08","29,024.01","29,685.41","27,385.03","13.13B","0.16%"
"04/01/2021","28,812.63","29,441.91","30,208.89","28,419.84","12.31B","-1.25%"
"03/01/2021","29,178.80","29,419.45","30,485.00","28,308.57","19.56B","0.73%"
"02/01/2021","28,966.01","27,649.07","30,714.52","27,649.07","14.06B","4.71%"
