"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","15,657.82","16,397.46","16,490.02","15,223.16","","-4.41%"
"03/01/2024","16,379.46","16,109.83","16,538.39","15,862.63","1.03B","1.79%"
"02/01/2024","16,091.92","15,254.02","16,134.22","15,208.88","21.72B","6.12%"
"01/01/2024","15,164.01","14,873.70","15,630.58","14,477.57","21.22B","1.02%"
"12/01/2023","15,011.35","14,181.35","15,150.07","14,058.52","23.68B","5.52%"
"11/01/2023","14,226.22","12,887.06","14,423.22","12,875.20","19.77B","10.70%"
"10/01/2023","12,851.24","13,217.99","13,714.14","12,543.86","19.19B","-2.78%"
"09/01/2023","13,219.32","14,129.96","14,149.62","12,963.16","19.74B","-5.81%"
"08/01/2023","14,034.97","14,274.93","14,309.21","13,161.76","21.07B","-2.17%"
"07/01/2023","14,346.02","13,798.70","14,446.55","13,567.25","19.25B","4.05%"
"06/01/2023","13,787.92","12,944.46","13,864.06","12,903.63","25.04B","6.59%"
"05/01/2023","12,935.28","12,210.05","13,154.29","11,925.37","21.61B","5.80%"
"04/01/2023","12,226.58","12,146.09","12,245.43","11,798.77","17.28B","0.04%"
"03/01/2023","12,221.91","11,447.58","12,227.93","10,982.80","25.37B","6.69%"
"02/01/2023","11,455.54","11,573.14","12,269.56","11,334.47","19.32B","-1.11%"
"01/01/2023","11,584.55","10,562.06","11,691.89","10,265.04","19.91B","10.68%"
"12/01/2022","10,466.48","11,475.17","11,571.64","10,207.47","21.69B","-8.73%"
"11/01/2022","11,468.00","11,154.74","11,492.62","10,262.93","20.08B","4.37%"
"10/01/2022","10,988.15","10,659.01","11,230.44","10,088.83","19.93B","3.90%"
"09/01/2022","10,575.62","11,707.44","12,270.19","10,572.33","22.03B","-10.50%"
"08/01/2022","11,816.20","12,317.96","13,181.09","11,790.02","21.71B","-4.64%"
"07/01/2022","12,390.69","11,006.83","12,426.26","10,911.45","18.16B","12.35%"
"06/01/2022","11,028.74","12,176.89","12,320.12","10,565.14","26.74B","-8.71%"
"05/01/2022","12,081.39","12,331.69","12,985.01","11,035.69","23.28B","-2.05%"
"04/01/2022","12,334.64","14,269.53","14,534.38","12,315.74","19.02B","-13.26%"
"03/01/2022","14,220.52","13,716.70","14,646.90","12,555.35","26.96B","3.41%"
"02/01/2022","13,751.40","14,277.43","14,509.56","12,587.88","18.89B","-3.43%"
"01/01/2022","14,239.88","15,732.50","15,852.14","13,094.65","20.65B","-8.98%"
