"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","3,104.82","3,049.02","3,123.29","2,995.54","764.79B","2.09%"
"03/01/2024","3,041.17","3,013.82","3,090.05","2,984.12","772.07B","0.86%"
"02/01/2024","3,015.17","2,773.42","3,031.49","2,635.09","656.26B","8.13%"
"01/01/2024","2,788.55","2,972.77","2,976.27","2,724.16","692.52B","-6.27%"
"12/01/2023","2,974.93","3,027.35","3,038.98","2,882.02","605.86B","-1.81%"
"11/01/2023","3,029.67","3,038.18","3,089.77","3,009.12","649.43B","0.36%"
"10/01/2023","3,018.77","3,100.00","3,109.99","2,923.51","488.86B","-2.95%"
"09/01/2023","3,110.48","3,126.02","3,177.06","3,078.80","526.14B","-0.30%"
"08/01/2023","3,119.88","3,288.76","3,315.05","3,053.04","771.65B","-5.20%"
"07/01/2023","3,291.04","3,209.16","3,322.13","3,151.13","588.95B","2.78%"
"06/01/2023","3,202.06","3,196.15","3,276.55","3,144.25","590.47B","-0.08%"
"05/01/2023","3,204.56","3,306.48","3,418.95","3,168.57","705.06B","-3.57%"
"04/01/2023","3,323.27","3,277.34","3,396.17","3,229.45","671.56B","1.54%"
"03/01/2023","3,272.86","3,279.14","3,342.86","3,216.99","724.72B","-0.21%"
"02/01/2023","3,279.61","3,262.20","3,308.83","3,223.26","562.75B","0.74%"
"01/01/2023","3,255.67","3,087.51","3,310.49","3,073.05","413.34B","5.39%"
"12/01/2022","3,089.26","3,187.99","3,226.08","3,031.54","614.03B","-1.97%"
"11/01/2022","3,151.34","2,899.50","3,158.57","2,896.76","686.91B","8.91%"
"10/01/2022","2,893.48","3,026.94","3,099.92","2,885.09","413.86B","-4.33%"
"09/01/2022","3,024.39","3,196.54","3,278.17","3,021.93","549.02B","-5.55%"
"08/01/2022","3,202.14","3,246.62","3,296.00","3,155.19","705.00B","-1.57%"
"07/01/2022","3,253.24","3,400.26","3,424.84","3,226.23","688.09B","-4.28%"
"06/01/2022","3,398.62","3,179.69","3,417.01","3,160.04","873.94B","6.66%"
"05/01/2022","3,186.43","3,044.85","3,188.60","2,957.40","674.73B","4.57%"
"04/01/2022","3,047.06","3,234.67","3,290.26","2,863.65","747.79B","-6.31%"
"03/01/2022","3,252.20","3,471.36","3,500.29","3,023.30","870.20B","-6.07%"
"02/01/2022","3,462.31","3,407.76","3,500.15","3,390.46","537.73B","3.00%"
"01/01/2022","3,361.44","3,649.15","3,651.89","3,356.56","662.57B","-7.65%"
"12/01/2021","3,639.78","3,561.89","3,708.94","3,558.69","863.87B","2.13%"
"11/01/2021","3,563.89","3,530.40","3,602.74","3,448.44","715.13B","0.47%"
"10/01/2021","3,547.34","3,609.09","3,625.02","3,502.80","561.82B","-0.58%"
"09/01/2021","3,568.17","3,543.87","3,723.85","3,514.67","1,072.91B","0.68%"
"08/01/2021","3,543.94","3,385.69","3,544.09","3,367.64","894.27B","4.31%"
"07/01/2021","3,397.36","3,600.55","3,607.70","3,312.72","790.39B","-5.40%"
"06/01/2021","3,591.20","3,608.60","3,629.29","3,503.18","668.36B","-0.67%"
"05/01/2021","3,615.48","3,446.07","3,626.36","3,384.70","580.17B","4.89%"
"04/01/2021","3,446.86","3,444.81","3,497.12","3,373.09","569.53B","0.14%"
"03/01/2021","3,441.91","3,531.48","3,577.62","3,328.31","744.06B","-1.91%"
"02/01/2021","3,509.08","3,477.17","3,731.69","3,465.77","484.07B","0.75%"
