"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","17,932.17","18,119.93","18,153.69","17,920.72","88.21M","-3.03%"
"03/01/2024","18,492.49","17,795.15","18,514.65","17,619.45","75.72M","4.61%"
"02/01/2024","17,678.19","16,834.13","17,742.48","16,821.60","1.47B","4.58%"
"01/01/2024","16,903.76","16,828.75","16,999.58","16,345.02","1.47B","0.91%"
"12/01/2023","16,751.64","16,296.92","17,003.28","16,279.45","1.32B","3.31%"
"11/01/2023","16,215.43","14,851.96","16,262.96","14,786.32","1.62B","9.49%"
"10/01/2023","14,810.34","15,439.96","15,575.28","14,630.21","1.51B","-3.75%"
"09/01/2023","15,386.58","15,936.34","15,989.30","15,138.66","1.48B","-3.51%"
"08/01/2023","15,947.08","16,414.79","16,430.66","15,468.65","1.35B","-3.04%"
"07/01/2023","16,446.83","16,187.91","16,528.97","15,456.16","1.34B","1.85%"
"06/01/2023","16,147.90","15,744.01","16,427.42","15,713.70","1.66B","3.09%"
"05/01/2023","15,664.02","15,950.36","16,331.94","15,629.12","1.52B","-1.62%"
"04/01/2023","15,922.38","15,623.45","15,922.38","15,482.88","1.23B","1.88%"
"03/01/2023","15,628.84","15,399.91","15,706.37","14,458.39","2.33B","1.72%"
"02/01/2023","15,365.14","15,125.12","15,658.56","15,107.83","1.32B","1.57%"
"01/01/2023","15,128.27","13,992.71","15,269.71","13,976.44","1.26B","8.65%"
"12/01/2022","13,923.59","14,543.80","14,675.84","13,791.52","1.13B","-3.29%"
"11/01/2022","14,397.04","13,344.85","14,571.66","13,022.64","1.46B","8.63%"
"10/01/2022","13,253.74","11,951.84","13,307.09","11,893.94","1.40B","9.41%"
"09/01/2022","12,114.36","12,713.75","13,564.83","11,862.84","1.61B","-5.61%"
"08/01/2022","12,834.96","13,471.20","13,947.85","12,758.44","1.31B","-4.81%"
"07/01/2022","13,484.05","12,627.66","13,515.03","12,390.95","1.52B","5.48%"
"06/01/2022","12,783.77","14,478.37","14,709.38","12,618.68","1.72B","-11.15%"
"05/01/2022","14,388.35","13,996.82","14,589.45","13,380.67","1.80B","2.06%"
"04/01/2022","14,097.88","14,447.78","14,603.44","13,566.20","1.65B","-2.20%"
"03/01/2022","14,414.75","14,404.22","14,925.25","12,438.85","2.77B","-0.32%"
"02/01/2022","14,461.02","15,620.56","15,736.52","13,807.28","2.03B","-6.53%"
"01/01/2022","15,471.20","15,947.44","16,285.35","14,952.67","1.66B","-2.60%"
"12/01/2021","15,884.86","15,233.37","15,974.79","15,060.10","1.35B","5.20%"
"11/01/2021","15,100.13","15,764.55","16,290.19","15,015.42","1.64B","-3.75%"
"10/01/2021","15,688.77","15,041.60","15,781.00","14,818.71","1.35B","2.81%"
"09/01/2021","15,260.69","15,958.41","15,981.70","15,019.49","1.34B","-3.63%"
"08/01/2021","15,835.09","15,631.70","16,030.33","15,492.58","1.03B","1.87%"
"07/01/2021","15,544.39","15,624.28","15,810.68","15,048.56","1.21B","0.09%"
"06/01/2021","15,531.04","15,513.13","15,802.67","15,309.44","1.23B","0.71%"
"05/01/2021","15,421.13","15,191.79","15,568.60","14,816.35","1.44B","1.88%"
"04/01/2021","15,135.91","15,053.77","15,501.84","15,032.52","1.32B","0.85%"
"03/01/2021","15,008.34","13,962.43","15,029.70","13,868.20","1.94B","8.86%"
"02/01/2021","13,786.29","13,559.94","14,169.49","13,518.45","1.44B","2.63%"
"01/01/2021","13,432.87","13,890.22","14,131.52","13,310.95","1.56B","-2.08%"
"12/01/2020","13,718.78","13,371.66","13,903.11","13,009.48","1.36B","3.22%"
"11/01/2020","13,291.16","11,602.91","13,445.11","11,551.36","1.83B","15.01%"
"10/01/2020","11,556.48","12,812.08","13,151.80","11,450.08","1.56B","-9.44%"
"09/01/2020","12,760.73","13,037.20","13,460.46","12,341.58","1.62B","-1.43%"
"08/01/2020","12,945.38","12,374.46","13,221.82","12,365.61","1.26B","5.13%"
"07/01/2020","12,313.36","12,391.72","13,313.90","12,095.11","1.71B","0.02%"
"06/01/2020","12,310.93","11,896.70","12,913.13","11,597.82","2.75B","6.25%"
"05/01/2020","11,586.85","10,543.36","11,813.14","10,160.89","2.22B","6.68%"
"04/01/2020","10,861.64","9,610.67","11,235.57","9,337.02","2.51B","9.32%"
"03/01/2020","9,935.84","12,030.27","12,272.99","8,255.65","4.83B","-16.44%"
"02/01/2020","11,890.35","13,033.17","13,795.24","11,724.12","2.23B","-8.41%"
"01/01/2020","12,981.97","13,233.71","13,640.06","12,948.17","1.74B","-2.02%"
"12/01/2019","13,249.01","13,264.93","13,425.85","12,886.55","1.37B","0.10%"
"11/01/2019","13,236.38","12,912.09","13,374.27","12,896.72","1.60B","2.87%"
"10/01/2019","12,866.79","12,469.67","12,986.49","11,878.98","1.84B","3.53%"
"09/01/2019","12,428.08","11,939.99","12,494.25","11,869.28","1.75B","4.09%"
"08/01/2019","11,939.28","12,134.71","12,254.03","11,266.48","2.02B","-2.05%"
"07/01/2019","12,189.04","12,616.34","12,656.05","12,115.28","1.90B","-1.69%"
"06/01/2019","12,398.80","11,661.12","12,438.37","11,620.64","1.85B","5.73%"
"05/01/2019","11,726.84","12,349.10","12,435.67","11,662.07","2.17B","-5.00%"
"04/01/2019","12,344.08","11,617.18","12,376.06","11,612.70","1.69B","7.10%"
"03/01/2019","11,526.04","11,584.24","11,823.29","11,299.80","1.93B","0.09%"
"02/01/2019","11,515.64","11,198.46","11,556.87","10,863.56","1.66B","3.07%"
"01/01/2019","11,173.10","10,477.77","11,321.62","10,386.97","1.93B","5.82%"
"12/01/2018","10,558.96","11,534.75","11,566.97","10,279.20","1.81B","-6.20%"
"11/01/2018","11,257.24","11,419.61","11,689.96","11,009.25","2.06B","-1.66%"
"10/01/2018","11,447.51","12,265.89","12,373.29","11,051.04","2.31B","-6.53%"
"09/01/2018","12,246.73","12,338.36","12,458.30","11,865.47","2.15B","-0.95%"
"08/01/2018","12,364.06","12,826.70","12,833.11","12,120.65","1.88B","-3.45%"
"07/01/2018","12,805.50","12,147.94","12,886.83","12,132.72","2.03B","4.06%"
"06/01/2018","12,306.00","12,678.07","13,170.05","12,104.41","2.40B","-2.37%"
"05/01/2018","12,604.89","12,610.78","13,204.31","12,547.61","2.29B","-0.06%"
"04/01/2018","12,612.11","11,997.47","12,647.16","11,792.35","1.92B","4.26%"
"03/01/2018","12,096.73","12,386.40","12,459.90","11,726.62","2.49B","-2.73%"
"02/01/2018","12,435.85","13,235.15","13,301.41","12,003.36","2.40B","-5.71%"
"01/01/2018","13,189.48","12,897.69","13,596.89","12,745.15","2.17B","2.10%"
"12/01/2017","12,917.64","13,044.15","13,338.91","12,810.13","1.67B","-0.82%"
"11/01/2017","13,023.98","13,342.44","13,525.56","12,847.88","2.19B","-1.55%"
"10/01/2017","13,229.57","12,866.27","13,255.38","12,849.59","1.61B","3.12%"
"09/01/2017","12,828.86","12,101.15","12,828.86","12,050.53","1.83B","6.41%"
"08/01/2017","12,055.84","12,147.89","12,336.00","11,868.84","1.79B","-0.52%"
"07/01/2017","12,118.25","12,396.34","12,676.52","12,097.36","1.83B","-1.68%"
"06/01/2017","12,325.12","12,623.61","12,951.54","12,319.00","2.11B","-2.30%"
"05/01/2017","12,615.06","12,478.46","12,841.66","12,433.51","2.07B","1.42%"
"04/01/2017","12,438.01","12,368.82","12,486.29","11,941.57","1.70B","1.02%"
"03/01/2017","12,312.87","11,915.03","12,313.29","11,850.27","2.43B","4.04%"
"02/01/2017","11,834.41","11,646.42","12,031.11","11,479.78","1.69B","2.59%"
"01/01/2017","11,535.31","11,426.38","11,893.08","11,414.82","1.90B","0.47%"
"12/01/2016","11,481.06","10,593.06","11,481.66","10,402.59","1.98B","7.90%"
"11/01/2016","10,640.30","10,724.14","10,802.39","10,174.92","2.19B","-0.23%"
"10/01/2016","10,665.01","10,492.97","10,827.72","10,349.06","1.85B","1.47%"
"09/01/2016","10,511.02","10,622.33","10,780.42","10,189.94","2.24B","-0.77%"
"08/01/2016","10,592.69","10,426.36","10,802.32","10,092.53","1.62B","2.47%"
"07/01/2016","10,337.50","9,742.84","10,381.90","9,304.01","1.87B","6.79%"
"06/01/2016","9,680.09","10,242.78","10,340.84","9,214.10","2.50B","-5.68%"
"05/01/2016","10,262.74","10,091.17","10,365.24","9,737.00","1.78B","2.23%"
"04/01/2016","10,038.97","9,833.26","10,474.38","9,484.75","1.85B","0.74%"
"03/01/2016","9,965.51","9,482.66","10,112.17","9,471.09","2.10B","4.95%"
"02/01/2016","9,495.40","9,823.73","9,827.10","8,699.29","2.53B","-3.09%"
"01/01/2016","9,798.11","10,485.81","10,485.91","9,314.57","2.23B","-8.80%"
"12/01/2015","10,743.01","11,422.47","11,430.38","10,122.95","1.84B","-5.62%"
"11/01/2015","11,382.23","10,749.98","11,430.87","10,607.46","1.73B","4.90%"
"10/01/2015","10,850.14","9,757.04","10,886.98","9,396.34","2.19B","12.32%"
"09/01/2015","9,660.44","10,073.74","10,512.61","9,325.05","2.66B","-5.84%"
"08/01/2015","10,259.46","11,295.50","11,669.86","9,338.20","2.18B","-9.28%"
"07/01/2015","11,308.99","11,050.32","11,802.37","10,652.79","1.89B","3.33%"
"06/01/2015","10,944.97","11,462.97","11,635.85","10,797.85","2.24B","-4.11%"
"05/01/2015","11,413.82","11,506.84","11,920.31","11,167.55","1.78B","-0.35%"
"04/01/2015","11,454.38","11,902.92","12,390.75","11,331.37","1.81B","-4.28%"
"03/01/2015","11,966.17","11,408.28","12,219.05","11,193.30","2.18B","4.95%"
"02/01/2015","11,401.66","10,719.18","11,401.66","10,594.32","1.83B","6.61%"
"01/01/2015","10,694.32","9,869.13","10,810.57","9,382.82","2.37B","9.06%"
